"October 2019 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","277","","","","","","","","",""
"Retired","197","","","","","","","","",""
"Rename","133","","","","","","","","",""
"Move","50","","","","","","","","",""
"Move & Rename","24","","","","","","","","",""
"Total","681","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"","-","Men","","","","","","260012","New Category",""
"","","-","Men's Clothing","","","","","1059","Moved from [Clothing, Shoes & Accessories-11450]",""
"","","","-","Activewear","","","","185099","",""
"","","","","","Activewear Bottoms","","","185075","",""
"","","","","","Activewear Jackets","","","185702","",""
"","","","","","Activewear Tops","","","185076","",""
"","","","","","Hoodies & Sweatshirts","","","155183","",""
"","","","","","Tracksuits & Sets","","","185708","",""
"","","","","Coats & Jackets","","","","57988","",""
"","","","","Jeans","","","","11483","",""
"","","","","Pants","","","","57989","",""
"","","","+","Shirts","","","","185100","",""
"","","","","Shorts","","","","15689","",""
"","","","","Sleepwear & Robes","","","","11510","",""
"","","","","Socks","","","","11511","",""
"","","","","Suits & Suit Separates","","","","3001","",""
"","","","","Sweaters","","","","11484","",""
"","","","","Swimwear","","","","15690","",""
"","","","","Underwear","","","","11507","",""
"","","","","Other Men's Clothing","","","","313","All listings are being moved into [Other Clothing, Shoes & Accessories - 312].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","-","Men's Shoes","","","","","93427","Moved from [Clothing, Shoes & Accessories-11450]",""
"","","","","Athletic Shoes","","","","15709","",""
"","","","","Boots","","","","11498","",""
"","","","","Casual Shoes","","","","24087","",""
"","","","","Dress Shoes","","","","53120","",""
"","","","","Sandals","","","","11504","",""
"","","","","Slippers","","","","11505","",""
"","","-","Men's Accessories","","","","","4250","Moved from [Clothing, Shoes & Accessories-11450]",""
"","","","","Bags","","","","52357","",""
"","","","","Belt Buckles","","","","86647","",""
"","","","","Belts","","","","2993","",""
"","","","","Collar Stays","","","","184594","",""
"","","","","Gloves & Mittens","","","","2994","",""
"","","","","Handkerchiefs","","","","167902","",""
"","","","","Hats","","","","52365","",""
"","","","","ID & Document Holders","","","","169271","",""
"","","","","Key Chains, Rings & Cases","","","","52373","",""
"","","","","Scarves","","","","52382","",""
"","","","+","Sunglasses & Sunglasses Accessories","","","","179239","",""
"","","","","Suspenders","","","","105387","",""
"","","","","Ties","","","","15662","",""
"","","","","Umbrellas","","","","90634","",""
"","","","","Wallets","","","","2996","",""
"","","","","Accessory Sets","","","","175627","",""
"","","","","Other Men's Accessories","","","","1060","All listings are being moved into [Other Clothing, Shoes & Accessories - 312].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","-","Kids","","","","","","171146","Renamed from [Kids' Clothing, Shoes & Accs]",""
"","","","Other Kids' Clothing & Accs","","","","","175640","All listings are being moved into [Other Clothing, Shoes & Accessories - 312].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","-","Boys","","","","","260013","New Category",""
"","","","-","Boys' Clothing (Sizes 4 & Up)","","","","11452","Moved from [Kids' Clothing, Shoes & Accs-171146]",""
"","","","","","Jeans","","","77475","",""
"","","","","","Outerwear","","","51933","",""
"","","","","","Outfits & Sets","","","156790","",""
"","","","","","Pants","","","51920","",""
"","","","","","Shorts","","","15615","",""
"","","","","","Sleepwear","","","84544","",""
"","","","","","Socks","","","153564","",""
"","","","","","Suits","","","99754","",""
"","","","","","Sweaters","","","51946","",""
"","","","","","Sweatshirts & Hoodies","","","57916","",""
"","","","","","Swimwear","","","51919","",""
"","","","","","Tops, Shirts & T-Shirts","","","175521","",""
"","","","","","Underwear","","","51973","",""
"","","","","","Uniforms","","","28016","",""
"","","","","","Vests","","","176957","",""
"","","","","","Mixed Items & Lots","","","15620","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Other Boys' Clothes Sizes 4+","","","1067","All listings are being moved into [Other Clothing, Shoes & Accessories - 312].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Boys' Shoes","","","","57929","Moved from [Kids' Clothing, Shoes & Accs-171146]",""
"","","","-","Boys' Accessories","","","","57881","Moved from [Kids' Clothing, Shoes & Accs-171146]",""
"","","","","","Backpacks & Bags","","","57882","",""
"","","","","","Belts & Belt Buckles","","","57883","",""
"","","","","","Gloves & Mittens","","","57885","",""
"","","","","","Hats","","","57884","",""
"","","","","","Key Chains","","","175524","",""
"","","","","","Scarves","","","122321","",""
"","","","","","Sunglasses","","","131411","",""
"","","","","","Suspenders","","","122320","",""
"","","","","","Ties","","","57886","",""
"","","","","","Umbrellas","","","175525","",""
"","","","","","Wallets","","","57887","",""
"","","","","","Wristbands","","","122322","",""
"","","","","","Mixed Items & Lots","","","156789","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Other Boys' Accessories","","","3075","All listings are being moved into [Other Clothing, Shoes & Accessories - 312].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","","Accessory Sets","","","260014","New Category",""
"","","-","Girls","","","","","260015","New Category",""
"","","","-","Girls' Clothing (Sizes 4 & Up)","","","","11462","Moved from [Kids' Clothing, Shoes & Accs-171146]",""
"","","","","","Dresses","","","51581","",""
"","","","","","Jeans","","","77411","",""
"","","","","","Jumpsuits & Rompers","","","175528","",""
"","","","","","Leggings","","","152719","",""
"","","","","","Outerwear","","","51580","",""
"","","","","","Outfits & Sets","","","156801","",""
"","","","","","Pants","","","51568","",""
"","","","","","Shorts","","","15648","",""
"","","","","","Skirts","","","51583","",""
"","","","","","Skorts","","","152553","",""
"","","","","","Sleepwear","","","99735","",""
"","","","","","Socks & Tights","","","153797","",""
"","","","","","Sweaters","","","51582","",""
"","","","","","Sweatshirts & Hoodies","","","152554","",""
"","","","","","Swimwear","","","51567","",""
"","","","","","Tops, Shirts & T-Shirts","","","175529","",""
"","","","","","Underwear","","","51586","",""
"","","","","","Uniforms","","","28017","",""
"","","","","","Mixed Items & Lots","","","15652","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Other Girls' Clothes Sizes 4+","","","51587","All listings are being moved into [Other Clothing, Shoes & Accessories - 312].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Girls' Shoes","","","","57974","Moved from [Kids' Clothing, Shoes & Accs-171146]",""
"","","","-","Girls' Accessories","","","","15628","Moved from [Kids' Clothing, Shoes & Accs-171146]",""
"","","","","","Backpacks","","","57917","",""
"","","","","","Belts & Belt Buckles","","","57918","",""
"","","","","","Gloves & Mittens","","","57919","",""
"","","","","","Hair Accessories","","","57920","",""
"","","","","","Hats","","","15630","",""
"","","","","","Jewelry","","","175526","",""
"","","","","","Key Chains","","","175527","",""
"","","","","","Purses & Wallets","","","15629","",""
"","","","","","Scarves & Wraps","","","57927","",""
"","","","","","Shoe Charms","","","150956","",""
"","","","","","Sunglasses","","","122340","",""
"","","","","","Umbrellas","","","122341","",""
"","","","","","Wristbands","","","122342","",""
"","","","","","Mixed Items & Lots","","","15633","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Other Girls' Accessories","","","11467","All listings are being moved into [Other Clothing, Shoes & Accessories - 312].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","","Accessory Sets","","","260016","New Category",""
"","","-","Unisex Kids","","","","","260017","New Category",""
"","","","-","Unisex Kids' Clothing (Sizes 4 & Up)","","","","155198","Moved from [Kids' Clothing, Shoes & Accs-171146] Renamed from [Unisex Clothing]",""
"","","","","","Jeans","","","175658","",""
"","","","","","Outerwear","","","155201","",""
"","","","","","Pants","","","175654","",""
"","","","","","Shorts","","","175655","",""
"","","","","","Sleepwear","","","175656","",""
"","","","","","Socks","","","175697","",""
"","","","","","Sweaters","","","175657","",""
"","","","","","Sweatshirts & Hoodies","","","155200","",""
"","","","","","Swimwear","","","175653","",""
"","","","","","Tops & T-Shirts","","","155199","",""
"","","","","","Uniforms","","","175652","",""
"","","","","","Other Unisex Clothing","","","155203","All listings are being moved into [Other Clothing, Shoes & Accessories - 312].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Unisex Kids' Shoes","","","","155202","Moved from [Kids' Clothing, Shoes & Accs-171146] Renamed from [Unisex Shoes]",""
"","-","Unisex Clothing, Shoes & Accs","","","","","","155184","This Category is being retired.",""
"","","-","Unisex Accessories","","","","","155185","This Category is being retired.",""
"","","","","Bags & Backpacks","","","","163537","All listings are being moved into [Bags - 52357].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Belt Buckles","","","","163542","All listings are being moved into [86647].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Belts","","","","155187","All listings are being moved into [2993].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Canes & Walking Sticks","","","","152537","All listings are being moved into [Walkers & Canes - 28176].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Earmuffs, Earwarmers","","","","169277","All listings are being moved into [Hats - 52365].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Gloves & Mittens","","","","169278","All listings are being moved into [2994].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Hats","","","","163543","All listings are being moved into [52365].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","ID & Document Holders","","","","169279","All listings are being moved into [169271].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Key Chains","","","","169280","All listings are being moved into [Key Chains, Rings & Cases - 52373].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Scarves & Bandanas","","","","169281","All listings are being moved into [Scarves - 52382].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Slippers","","","","163550","All listings are being moved into [11505].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Socks","","","","166695","All listings are being moved into [11511].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","-","Sunglasses & Sunglasses Accessories","","","","179243","The Category ID is being changed to [179239].",""
"","","","","","Sunglasses","","","155189","All listings are being moved into [79720].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Replacement Lenses & Parts","","","179195","All listings are being moved into [179194].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Accessories","","","179245","All listings are being moved into [179241].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Umbrellas","","","","155190","All listings are being moved into [90634].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Wallets","","","","169283","All listings are being moved into [2996].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Unisex Adult Clothing","","","","","155192","This Category is being retired.",""
"","","","","Jeans, Pants & Shorts","","","","166696","All listings are being moved into [Pants - 57989].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Outerwear","","","","155195","All listings are being moved into [Coats & Jackets - 57988].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Sleepwear & Robes","","","","166697","All listings are being moved into [11510].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Sweatshirts, Hoodies","","","","155194","All listings are being moved into [Hoodies & Sweatshirts - 155183].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","T-Shirts","","","","155193","All listings are being moved into [15687].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Unisex Adult Shoes","","","","","155196","All listings are being moved into [Slippers - 11505].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","-","Wholesale, Large & Small Lots","","","","","","41964","This Category is being retired.",""
"","","","Boys","","","","","45051","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Girls","","","","","41965","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Infants","","","","","45052","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Men's Accessories","","","","","45053","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Men's Clothing","","","","","50975","This Category is being retired.",""
"","","","","Pants & Shorts","","","","50977","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Shirts","","","","50976","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Socks & Underwear","","","","52535","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Mixed Items","","","","163631","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Wholesale Men's Clothing","","","","41966","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Men's Shoes","","","","","45054","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Uniforms","","","","","50978","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Women's Accessories","","","","","50980","This Category is being retired.",""
"","","","","Bags & Handbags","","","","45055","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Hair Accessories","","","","50981","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Scarves, Wraps","","","","50982","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Wholesale Women's Accs","","","","50983","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Women's Clothing","","","","","50985","This Category is being retired.",""
"","","","","Dresses","","","","50986","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Intimates","","","","52536","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Jeans","","","","50987","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Maternity","","","","52537","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Outerwear","","","","50988","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Pants","","","","50989","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Shirts, Tops","","","","50990","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Shorts","","","","50991","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Skirts","","","","50992","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Sweaters","","","","50993","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Swimwear","","","","50994","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Whlsl Women's Clothing","","","","41967","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Women's Shoes","","","","","45056","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Mixed Lots","","","","","45057","The Category ID is being changed to [260034].","Please update your category ID accordingly."
"","","","Other Wholesale Lots","","","","","14879","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","-","Baby","","","","","","260018","New Category",""
"","","-","Baby & Toddler Clothing","","","","","260019","New Category",""
"","","","","Bottoms","","","","260020","New Category",""
"","","","","Christening Clothing","","","","139762","Moved from [Baby & Toddler Clothing-3082] Renamed from [Christening]",""
"","","","","Dresses","","","","260021","New Category",""
"","","","","One-Pieces","","","","260022","New Category",""
"","","","","Outerwear","","","","260023","New Category",""
"","","","","Outfits & Sets","","","","260024","New Category",""
"","","","","Skirts","","","","260025","New Category",""
"","","","","Sleepwear","","","","260026","New Category",""
"","","","","Socks & Tights","","","","260027","New Category",""
"","","","","Suits","","","","260028","New Category",""
"","","","","Sweaters","","","","260029","New Category",""
"","","","","Swimwear","","","","260030","New Category",""
"","","","","Tops & T-Shirts","","","","260031","New Category",""
"","","","","Underwear","","","","260032","New Category",""
"","","","Baby Shoes","","","","","147285","Moved from [Baby & Toddler Clothing-3082]",""
"","","-","Baby Accessories","","","","","163222","Moved from [Baby & Toddler Clothing-3082]",""
"","","","","Bags","","","","57748","",""
"","","","","Belts","","","","176966","",""
"","","","","Gloves & Mittens","","","","163225","",""
"","","","","Hair Accessories","","","","18786","",""
"","","","","Hats","","","","163224","",""
"","","","","Jewelry","","","","175522","",""
"","","","","Scarves","","","","175523","",""
"","","","","Sunglasses","","","","176967","",""
"","","","","Ties","","","","176968","",""
"","","","","Other Baby Accessories","","","","163226","All listings are being moved into [Other Clothing, Shoes & Accessories - 312].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","-","Specialty","","","","","","260033","New Category",""
"","","-","Costumes, Reenactment, Theater","","","","","163147","Moved from [Clothing, Shoes & Accessories-11450]",""
"","","","+","Costumes","","","","175648","",""
"","","","+","Reenactment & Theater","","","","175650","",""
"","","","+","Accessories","","","","155344","",""
"","","","","Other Theatrical Clothing","","","","163149","",""
"","","-","Dancewear","","","","","112425","Moved from [Clothing, Shoes & Accessories-11450]",""
"","","","+","Adult Dancewear","","","","175638","",""
"","","","","Baby & Toddler Dancewear","","","","172007","",""
"","","","+","Kids' Dancewear","","","","152345","",""
"","","","+","Dance Shoes","","","","175639","",""
"","","-","Uniforms & Work Clothing","","","","","28015","Moved from [Clothing, Shoes & Accessories-11450]",""
"","","","","Aprons","","","","175628","",""
"","","","","Coveralls & Jumpsuits","","","","178962","",""
"","","","","Hats","","","","163526","",""
"","","","","Jackets & Vests","","","","175629","",""
"","","","","Lab Coats","","","","105417","",""
"","","","","Pants & Shorts","","","","163525","",""
"","","","","Scouting Uniforms","","","","105418","",""
"","","","+","Scrubs","","","","105419","",""
"","","","","Shirts","","","","175630","",""
"","","","","Other Uniforms & Work Clothing","","","","163528","",""
"","","-","Wedding & Formal Occasion","","","","","3259","Moved from [Clothing, Shoes & Accessories-11450]",""
"","","","","Wedding Dresses","","","","15720","",""
"","","","","Bridal Shoes","","","","105471","",""
"","","","+","Bridal Accessories","","","","106127","",""
"","","","","Bridesmaid Dresses","","","","175633","",""
"","","","","Mother of the Bride","","","","131474","",""
"","","","","Women's Formal Hats","","","","131476","",""
"","","","+","Men's Formal Occasion","","","","105508","",""
"","","","","Boys' Formal Occasion","","","","105520","",""
"","","","","Girls' Formal Occasion","","","","3263","",""
"","","","","Novelty Attire","","","","175632","",""
"","","","","Other Wedding & Formal Wear","","","","1265","",""
"","","-","Vintage","","","","","175759","Moved from [Clothing, Shoes & Accessories-11450]",""
"","","","+","Vintage Accessories","","","","182059","",""
"","","","+","Children's Vintage Clothing","","","","182025","",""
"","","","","Children's Vintage Shoes","","","","182034","",""
"","","","+","Men's Vintage Clothing","","","","182044","",""
"","","","","Men's Vintage Shoes","","","","163628","",""
"","","","+","Women's Vintage Clothing","","","","182047","",""
"","","","","Women's Vintage Shoes","","","","74976","",""
"","","","","Wholesale Vintage Clothing","","","","50979","Moved from [Wholesale, Large & Small Lots-41964] Renamed from [Vintage]",""
"","","","","Other Vintage Clothing","","","","91247","",""
"","","-","World & Traditional Clothing","","","","","155240","Moved from [Clothing, Shoes & Accessories-11450]",""
"","","","","Africa","","","","155241","",""
"","","","+","Asia & Pacific Islands","","","","155242","",""
"","","","","Europe","","","","185094","This Category is being retired.",""
"","","","-","Germany","","","","185095","Moved from [Europe-185094]",""
"","","","","+","Women's Traditional Clothing","","","80960","",""
"","","","","+","Men's Traditional Clothing","","","80966","",""
"","","","","+","Youth Traditional Clothing","","","185096","",""
"","","","","Scotland","","","","185097","Moved from [Europe-185094]",""
"","","","","Other European Clothing","","","","163145","Moved from [Europe-185094]",""
"","","","+","India & Pakistan","","","","155246","",""
"","","","","Latin America","","","","155252","",""
"","","","","Middle East","","","","155253","",""
"","","","","Native American","","","","163146","",""
"","","","","Other Cultural Clothing","","","","155254","",""
"","","-","Clothing & Shoe Care","","","","","106121","Moved from [Clothing, Shoes & Accessories-11450]",""
"","","","","Clothes Brushes","","","","185105","",""
"","","","","Garment Bags","","","","116744","",""
"","","","+","Shoe Care & Repair","","","","185103","",""
"","","","","Other Clothing & Shoe Care","","","","106126","",""
"","","","Mixed Lots","","","","","260034","New Category",""
"","","","Other Clothing, Shoes & Accessories","","","","","312","Moved from [Clothing, Shoes & Accessories-11450]",""
"+","Coins & Paper Money","","","","","","","11116","",""
"-","Collectibles","","","","","","","1","",""
"","-","Advertising","","","","","","34","",""
"","","+","Agriculture","","","","","827","",""
"","","+","Automobiles","","","","","1313","",""
"","","+","Clothing, Shoes & Accessories","","","","","13583","",""
"","","+","Communication & Utilities","","","","","13585","",""
"","","","Computers & High Tech","","","","","21092","",""
"","","","eBayana","","","","","18789","",""
"","","+","Food & Beverage","","","","","13587","",""
"","","-","Gas & Oil","","","","","39","",""
"","","","-","Gas & Oil Companies","","","","156204","",""
"","","","","","Amoco","","","10801","",""
"","","","","","Atlantic","","","165243","",""
"","","","","","BP","","","3888","",""
"","","","","","Castrol","","","165244","",""
"","","","","","Chevron & Standard Oil","","","838","",""
"","","","","","Citgo","","","1328","",""
"","","","","","Conoco","","","10802","",""
"","","","","","Eagle","","","165245","",""
"","","","","","Enron","","","26264","",""
"","","","","","Esso","","","41","",""
"","","","","","Exxon","","","839","",""
"","","","","","Gulf","","","1329","",""
"","","","","-","Hess","","","35879","",""
"","","","","","","Pre-1980","","35881","",""
"","","","","","","1980-89","","35882","",""
"","","","","","","1990-94","","35883","",""
"","","","","","","1995-99","","35884","",""
"","","","","","","2000-Now","","35885","",""
"","","","","","","Unspecified, Unknown Date","","1330","Renamed from [Unknown]",""
"","","","","","Humble","","","864","",""
"","","","","","Mobil","","","834","",""
"","","","","","Pennzoil","","","835","",""
"","","","","","Phillips 66","","","832","",""
"","","","","","Pure Oil Company","","","165246","",""
"","","","","","Quaker State","","","837","",""
"","","","","","Shell","","","833","",""
"","","","","","Sinclair","","","1331","",""
"","","","","","Sunoco","","","1332","",""
"","","","","+","Texaco","","","35672","",""
"","","","","","Tydol, Veedol & Flying A","","","836","",""
"","","","","","Union 76","","","10803","",""
"","","","","","Valvoline","","","35678","",""
"","","","","","Mixed Lots","","","165247","",""
"","","","","","Other Gas & Oil Company Ads","","","165248","",""
"","","","+","Merchandise & Memorabilia","","","","165249","",""
"","","","","Other Gas & Oil Collectibles","","","","40","",""
"","","","Government","","","","","875","",""
"","","+","Health & Beauty","","","","","21136","",""
"","","+","Hotel & Motel","","","","","170068","",""
"","","+","Household","","","","","13595","",""
"","","","Jewelry & Watches","","","","","165254","",""
"","","","Musical Instruments","","","","","165255","",""
"","","","Pets","","","","","21097","",""
"","","+","Restaurants & Fast Food","","","","","849","",""
"","","+","Retail Stores","","","","","13598","",""
"","","+","Soda","","","","","36","",""
"","","+","Tires","","","","","13617","",""
"","","+","Merchandise & Memorabilia","","","","","13623","",""
"","","","Price Guides & Publications","","","","","171180","",""
"","","","Other Collectible Ads","","","","","165266","",""
"","+","Animals","","","","","","1335","",""
"","+","Animation Art & Characters","","","","","","13658","",""
"","+","Arcade, Jukeboxes & Pinball","","","","","","66502","",""
"","+","Autographs","","","","","","14429","",""
"","+","Banks, Registers & Vending","","","","","","66503","",""
"","+","Barware","","","","","","3265","",""
"","+","Beads","","","","","","156277","",""
"","+","Bottles & Insulators","","","","","","29797","",""
"","+","Breweriana, Beer","","","","","","562","",""
"","+","Casino","","","","","","898","",""
"","+","Clocks","","","","","","397","",""
"","+","Comics","","","","","","63","",""
"","","Credit, Charge Cards","","","","","","1462","",""
"","+","Cultures & Ethnicities","","","","","","3913","",""
"","-","Decorative Collectibles","","","","","","13777","",""
"","","-","Decorative Collectible Brands","","","","","156286","",""
"","","","","All God's Children","","","","13778","",""
"","","","","Andrea by Sadek","","","","98025","",""
"","","","","ANRI","","","","4018","",""
"","","","","Armani","","","","4019","",""
"","","","","Artesania Rinconada","","","","167983","",""
"","","","+","Avon","","","","13779","",""
