"October 2019 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","277","","","","","","","","",""
"Retired","197","","","","","","","","",""
"Rename","133","","","","","","","","",""
"Move","50","","","","","","","","",""
"Move & Rename","24","","","","","","","","",""
"Total","681","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"","+","Sewing (Pre-1930)","","","","","","156323","",""
"","-","Silver","","","","","","20096","",""
"","","+","Sterling Silver (.925)","","","","","2213","",""
"","","","Coin Silver (.900)","","","","","20097","",""
"","","","Silver Alloys (.800-.899)","","","","","169269","",""
"","","+","Silverplate","","","","","2212","",""
"","","-","Non-U.S. Silver","","","","","151726","",""
"","","","","Asia","","","","151732","",""
"","","","","Canada","","","","151727","",""
"","","","","France","","","","151729","",""
"","","","","Germany","","","","151730","",""
"","","","","Mexico","","","","151733","",""
"","","","","Middle East","","","","156333","",""
"","","","","Russia","","","","151736","",""
"","","","","Scandinavia","","","","156334","",""
"","","","","Spain","","","","151735","",""
"","","","","United Kingdom","","","","151728","",""
"","","","","Unspecified, Unknown Origin","","","","156335","Renamed from [Unknown]",""
"","","","","Other Antique Non-U.S. Silver","","","","151737","",""
"","","","Unspecified, Unknown Type of Silver","","","","","169270","Renamed from [Unknown]",""
"","","","Price Guides & Publications","","","","","171168","",""
"","","Reproduction Antiques","","","","","","22608","",""
"","","Other Antiques","","","","","","12","",""
"+","Art","","","","","","","550","",""
"+","Baby","","","","","","","2984","",""
"+","Books","","","","","","","267","",""
"-","Business & Industrial","","","","","","","12576","",""
"","+","Adhesives, Sealants & Tapes","","","","","","109471","",""
"","+","Agriculture & Forestry","","","","","","11748","",""
"","+","Building Materials & Supplies","","","","","","41498","",""
"","+","Cleaning & Janitorial Supplies","","","","","","46534","",""
"","+","CNC, Metalworking & Manufacturing","","","","","","11804","",""
"","+","Electrical Equipment & Supplies","","","","","","92074","",""
"","+","Facility Maintenance & Safety","","","","","","11897","",""
"","+","Fasteners & Hardware","","","","","","183900","",""
"","+","Fuel & Energy","","","","","","159693","",""
"","-","Healthcare, Lab & Dental","","","","","","11815","",""
"","","+","Handpieces & Instruments","","","","","185155","",""
"","","-","Medical & Lab Equipment, Devices","","","","","184520","",""
"","","","","Absorbance Detectors","","","","185172","",""
"","","","","Acoustic/Traditional Stethoscopes","","","","185173","",""
"","","","","AED Trainers & Training Pads","","","","185174","",""
"","","","","Aesthetic & Cosmetic Machines","","","","184527","",""
"","","","","Anesthesia Machines","","","","184525","",""
"","","","","Autoclaves & Sterilizers","","","","48722","",""
"","","","","Autorefractors, Keratometers & Tonometers","","","","185176","",""
"","","","","Autosamplers","","","","185177","",""
"","","","","Bioreactors & Fermenters","","","","185178","",""
"","","","","Blood/Hematology Analyzers","","","","185179","",""
"","","","","Blood Cell Counters","","","","185180","",""
"","","","","Blood/Fluid Warming Systems","","","","184536","",""
"","","","","Blood Pressure Machines & Monitors","","","","100004","",""
"","","","","Bone Densitometers","","","","184538","",""
"","","","","CAD/CAM Acquisition Scanners & Milling Machines","","","","185181","",""
"","","","","Centrifuges","","","","26232","",""
"","","","","Chiropractic Activators/Adjusting Tools","","","","185182","",""
"","","","","Chromatography Systems","","","","185183","",""
"","","","","Colposcopes","","","","185184","",""
"","","","","Continuous Passive Motion (CPM) Machines","","","","185185","",""
"","","","","Corneal Topographers","","","","185186","",""
"","","","","Defibrillators, AED Pads & Batteries","","","","100011","",""
"","","","","Density Meters/Densometers","","","","185187","",""
"","","","","Dental Air Compressors & Vacuum Systems","","","","185188","",""
"","","","","Dental Amalgamators","","","","63993","",""
"","","","","Dental Dust Collectors","","","","185189","",""
"","","","","Dental Lasers","","","","185190","",""
"","","","","Dialysis Machines","","","","184531","",""
"","","","","Dissolved Oxygen Meters","","","","185191","",""
"","","","","ECG & EKG Machines","","","","100005","",""
"","","","","EEG Systems","","","","184522","",""
"","","","","Electrocautery & Electrosurgery","","","","185192","",""
"","","","","Electronic Apex Locators","","","","185193","",""
"","","","","Electronic Stethoscopes","","","","185194","",""
"","","","","Environmental Test Chambers","","","","185195","",""
"","","","","Fetal Dopplers & Vascular Dopplers","","","","117028","",""
"","","","","Fiber Optic Illuminators/Light Sources","","","","185196","",""
"","","","","Fundus Cameras","","","","185197","",""
"","","","","Gel Electrophoresis Systems","","","","185198","",""
"","","","","Heating Mantles","","","","119116","",""
"","","","","Hyperbaric Chambers","","","","184529","",""
"","","","","Insufflators","","","","113733","",""
"","","","","Intraoral Cameras","","","","185199","",""
"","","","","Lab Evaporators","","","","119114","",""
"","","","","Lab Freezers & Refrigerators","","","","48731","",""
"","","","","Lab Furnaces & Ovens","","","","185200","",""
"","","","","Lab Incubators","","","","185201","",""
"","","","","Lab Jacks/Lifting Platforms","","","","185202","",""
"","","","+","Lab Lasers","","","","185203","",""
"","","","+","Lab Mixers, Shakers & Stirrers","","","","185209","",""
"","","","","Lab Presses","","","","185215","",""
"","","","","Lab Reactors","","","","185216","",""
"","","","","Lab Refractometers","","","","185217","",""
"","","","","Lab Scales & Beam Balances","","","","185218","",""
"","","","","Lensmeters","","","","185219","",""
"","","","","Luminometers","","","","185220","",""
"","","","","Medical & Lab Pumps","","","","184511","",""
"","","","","Medical Thermometers","","","","104224","",""
"","","","","Microarray Scanners","","","","185221","",""
"","","","","Microplate Washers","","","","185222","",""
"","","","","Microscopes","","","","185223","",""
"","","","","Microtomes","","","","159697","",""
"","","","","Model Trimmers","","","","185224","",""
"","","","","Moisture Analyzers","","","","185225","",""
"","","","","MRI Systems","","","","184541","",""
"","","","","Nebulizers","","","","185226","",""
"","","","","Nurse Call Equipment","","","","184508","",""
"","","","","Orthopedic Goniometers","","","","185227","",""
"","","","","Pachymeters","","","","185228","",""
"","","","","Particle Counters","","","","185229","",""
"","","","","Patient Monitors","","","","100006","",""
"","","","","Patient Warming Units","","","","185230","",""
"","","","","PCR Thermal Cyclers","","","","185231","",""
"","","","","Phoropters & Manual Refractors","","","","185232","Renamed from [Phoroptors & Manual Refractors]",""
"","","","","Phototherapy Lights & Systems","","","","184535","",""
"","","","","Pill/Tablet Making Machines","","","","185233","",""
"","","","","Pill & Capsule Counters","","","","185234","",""
"","","","","Pipette & Micropipette Pullers","","","","185235","",""
"","","","","Pipettors/Automatic Pipettes","","","","185236","",""
"","","","","Pulse Oximeters","","","","31465","",""
"","","","","Pupilometers","","","","159686","",""
"","","","","Slit Lamps","","","","71388","",""
"","","","","Solvent Recyclers","","","","185237","",""
"","","","","Spectrometers & Spectrophotometers","","","","185238","",""
"","","","","Spinal Traction Units","","","","185239","",""
"","","","","Spirometers & Peak Flow Meters","","","","185240","",""
"","","","","Surgical Lasers","","","","185241","",""
"","","","","TENS Machines & Electrical Muscle Stimulators","","","","184530","",""
"","","","","Tissue Processors","","","","185242","",""
"","","","","Titrators","","","","185175","",""
"","","","","Training Manikins & Patient Simulators","","","","100012","",""
"","","","","Transilluminators & UV Crosslinkers","","","","185243","",""
"","","","","Tympanometers & Audiometers","","","","185244","",""
"","","","","Ultrasonic Cleaners","","","","185245","",""
"","","","","Ultrasound Machines","","","","184542","",""
"","","","","Ultrasound Therapy Units","","","","185246","",""
"","","","","Urine Analyzers","","","","185247","",""
"","","","","Vacuum Regulators","","","","184532","",""
"","","","","Ventilators","","","","185248","",""
"","","","","Viscometers & Rheometers","","","","185249","",""
"","","","","Vision Screeners & Visual Field Analyzers","","","","185250","",""
"","","","","Water Baths, Circulators & Chillers","","","","185251","",""
"","","","","Wax Heaters","","","","185252","",""
"","","","+","X-Ray Machines & Equipment","","","","184537","",""
